txn_id,user_id,raw_description,cleaned_description,merchant_name,amount,txn_type,payment_mode,category,subcategory,confidence_score,txn_timestamp,month,day_of_week,hour,is_recurring,avg_spend_per_category,spend_std_dev,monthly_surplus,expense_volatility,balance_after_txn,user_corrected_label
665,1,BANK INTEREST 2934,bank interest 2934,Bank,1970.96,credit,Net Banking,Income,Interest,0.5358,2024-04-23 09:50:00,4,1,9,0,,,84715.58,10401.76,63199.11,Income
722,1,UNACADEMY* 7100,unacademy 7100,Unacademy,1542.9,debit,Credit Card,Education,Online Learning,0.7915,2024-04-23 16:59:00,4,1,16,1,2225.87,1205.15,84715.58,10401.76,61656.21,Education
552,1,D-MART AVENUE 5835,d mart avenue 5835,DMart,1499.17,debit,IMPS,Groceries,Supermarket,0.7514,2024-04-23 20:29:00,4,1,20,0,1470.46,978.35,84715.58,10401.76,60157.04,Groceries
900,1,MAKEMYTRIP 3959,makemytrip 3959,MakeMyTrip,23265.22,refund,Net Banking,Travel,Flight/Hotel,0.7321,2024-04-23 20:59:00,4,1,20,0,,,84715.58,10401.76,36891.82,Travel
820,1,PRACTO CONSULT 2931,practo consult 2931,Practo,278.53,debit,Credit Card,Healthcare,Consultation,0.9495,2024-04-25 16:58:00,4,3,16,0,793.86,497.86,84715.58,10401.76,36613.29,Healthcare
1904,1,NETFLIX INDIA 8645,netflix india 8645,Netflix,632.21,debit,Cash,Entertainment,Streaming,0.9243,2024-04-29 13:06:00,4,0,13,1,465.35,369.79,84715.58,10401.76,35981.08,Entertainment
2187,1,Jio Recharge 1648,jio recharge 1648,Jio,827.58,debit,UPI,Utilities,Mobile Recharge,0.7111,2024-05-01 18:58:00,5,2,18,1,486.89,245.68,-24249.13,10401.76,35153.5,Utilities
762,1,MAKEMYTRIP 6103,makemytrip 6103,MakeMyTrip,22826.13,refund,Credit Card,Travel,Flight/Hotel,0.7465,2024-05-08 08:11:00,5,2,8,0,,,-24249.13,10401.76,12327.37,Travel
251,1,SWIGGY ORDER* 2678,swiggy order 2678,Swiggy,705.93,debit,Credit Card,Food & Dining,Food Delivery,0.8149,2024-05-15 21:04:00,5,2,21,0,349.94,172.7,-24249.13,10401.76,11621.44,Food & Dining
1840,1,NETFLIX INDIA 4416,netflix india 4416,Netflix,396.9,debit,UPI,Entertainment,Streaming,0.7792,2024-05-18 21:13:00,5,5,21,1,465.35,369.79,-24249.13,10401.76,11224.54,Entertainment
1052,1,APOLLO PHARMACY 4264,apollo pharmacy 4264,Apollo Pharmacy,486.18,debit,Credit Card,Healthcare,Medicines,0.9506,2024-05-23 16:26:00,5,3,16,0,793.86,497.86,-24249.13,10401.76,10738.36,Healthcare
672,1,UNACADEMY* 8244,unacademy 8244,Unacademy,1576.2,debit,Credit Card,Education,Online Learning,0.9663,2024-05-30 18:28:00,5,3,18,1,2225.87,1205.15,-24249.13,10401.76,9162.16,Groceries
639,1,HDFC BANK EMI 3757,hdfc bank emi 3757,HDFC EMI,16973.11,debit,Net Banking,Finance,Loan EMI,0.7611,2024-05-31 09:22:00,5,4,9,1,9331.17,6864.04,-24249.13,10401.76,-7810.95,Transport
1696,1,D-MART AVENUE 8044,d mart avenue 8044,DMart,3283.23,debit,Cash,Groceries,Supermarket,0.8388,2024-05-31 13:57:00,5,4,13,0,1470.46,978.35,-24249.13,10401.76,-11094.18,Shopping
856,1,SALARY CREDIT 8838,salary credit 8838,Employer,138486.98,credit,Debit Card,Income,Salary,0.8172,2024-06-01 10:20:00,6,5,10,0,,,116906.37,10401.76,127392.8,Income
1756,1,BYJU'S SUBSCRIPTION 6215,byju's subscription 6215,Byjus,1783.92,debit,Wallet,Education,Online Learning,0.9083,2024-06-03 17:06:00,6,0,17,0,2225.87,1205.15,116906.37,10401.76,125608.88,Education
1022,1,SWIGGY ORDER* 6114,swiggy order 6114,Swiggy,488.33,debit,IMPS,Food & Dining,Food Delivery,0.7583,2024-06-04 09:47:00,6,1,9,0,349.94,172.7,116906.37,10401.76,125120.55,Food & Dining
52,1,AMAZON PAY* 4571,amazon pay 4571,Amazon,424.28,debit,Cash,Shopping,E-commerce,0.9008,2024-06-05 13:08:00,6,2,13,0,3549.43,1974.19,116906.37,10401.76,124696.27,Shopping
1337,1,RELIANCE FRESH* 3358,reliance fresh 3358,Reliance Fresh,1836.68,debit,Cash,Groceries,Supermarket,0.9194,2024-06-06 18:21:00,6,3,18,0,1470.46,978.35,116906.37,10401.76,122859.59,Groceries
1767,1,ZOMATO* 3832,zomato 3832,Zomato,431.65,debit,Net Banking,Food & Dining,Food Delivery,0.753,2024-06-09 08:52:00,6,6,8,0,349.94,172.7,116906.37,10401.76,122427.94,Food & Dining
1214,1,NETFLIX INDIA 4382,netflix india 4382,Netflix,440.0,debit,IMPS,Entertainment,Streaming,0.7541,2024-06-09 18:59:00,6,6,18,1,465.35,369.79,116906.37,10401.76,121987.94,Shopping
1691,1,RELIANCE FRESH* 6061,reliance fresh 6061,Reliance Fresh,1621.42,transfer,Net Banking,Groceries,Supermarket,0.7903,2024-06-10 19:52:00,6,0,19,0,,,116906.37,10401.76,120366.52,Shopping
384,1,AMAZON PAY* 3725,amazon pay 3725,Amazon,4811.31,debit,UPI,Shopping,E-commerce,0.9672,2024-06-13 10:40:00,6,3,10,0,3549.43,1974.19,116906.37,10401.76,115555.21,Shopping
1154,1,HOTSTAR PREMIUM 4168,hotstar premium 4168,Hotstar,494.06,debit,Debit Card,Entertainment,Streaming,0.8938,2024-06-13 13:25:00,6,3,13,1,465.35,369.79,116906.37,10401.76,115061.15,Entertainment
1382,1,SBI MUTUAL FUND SIP 5477,sbi mutual fund sip 5477,SBI MF,6898.1,debit,IMPS,Investments,Mutual Fund,0.7016,2024-06-22 22:15:00,6,5,22,1,9038.92,9041.89,116906.37,10401.76,108163.05,Investments
629,1,APOLLO PHARMACY 9096,apollo pharmacy 9096,Apollo Pharmacy,1382.28,debit,IMPS,Healthcare,Medicines,0.932,2024-06-23 09:00:00,6,6,9,0,793.86,497.86,116906.37,10401.76,106780.77,Healthcare
1403,1,SPOTIFY INDIA 4425,spotify india 4425,Spotify,145.71,debit,UPI,Entertainment,Music Streaming,0.9197,2024-06-25 11:14:00,6,1,11,1,465.35,369.79,116906.37,10401.76,106635.06,Entertainment
1607,1,APOLLO PHARMACY 4474,apollo pharmacy 4474,Apollo Pharmacy,446.52,transfer,UPI,Healthcare,Medicines,0.9135,2024-06-25 22:55:00,6,1,22,0,,,116906.37,10401.76,106188.54,Healthcare
1714,1,PETROL PUMP HPCL 2179,petrol pump hpcl 2179,HPCL,2154.3,debit,Net Banking,Transport,Fuel,0.8284,2024-06-27 08:23:00,6,3,8,0,810.21,844.02,116906.37,10401.76,104034.24,Transport
721,1,SWIGGY ORDER* 2657,swiggy order 2657,Swiggy,289.99,debit,Credit Card,Food & Dining,Food Delivery,0.7866,2024-06-27 16:54:00,6,3,16,0,349.94,172.7,116906.37,10401.76,103744.25,Food & Dining
1679,1,HDFC BANK EMI 7175,hdfc bank emi 7175,HDFC EMI,11330.1,transfer,IMPS,Finance,Loan EMI,0.8031,2024-07-12 13:36:00,7,4,13,1,,,-2735.83,10401.76,92414.15,Transport
752,1,PRACTO CONSULT 3750,practo consult 3750,Practo,205.42,debit,Net Banking,Healthcare,Consultation,0.9391,2024-07-15 08:14:00,7,0,8,0,793.86,497.86,-2735.83,10401.76,92208.73,Healthcare
280,1,BigBasket 6883,bigbasket 6883,BigBasket,869.43,debit,UPI,Groceries,Online Grocery,0.9968,2024-07-23 22:15:00,7,1,22,0,1470.46,978.35,-2735.83,10401.76,91339.3,Groceries
1547,1,NETFLIX INDIA 7449,netflix india 7449,Netflix,163.48,debit,Cash,Entertainment,Streaming,0.9766,2024-07-24 18:10:00,7,2,18,1,465.35,369.79,-2735.83,10401.76,91175.82,Entertainment
302,1,PRACTO CONSULT 2097,practo consult 2097,Practo,820.63,debit,Wallet,Healthcare,Consultation,0.7959,2024-07-25 10:53:00,7,3,10,0,793.86,497.86,-2735.83,10401.76,90355.19,Healthcare
1745,1,Jio Recharge 8675,jio recharge 8675,Jio,446.05,debit,UPI,Utilities,Mobile Recharge,0.7658,2024-07-28 06:14:00,7,6,6,1,486.89,245.68,-2735.83,10401.76,89909.14,Utilities
559,1,UBER INDIA 6963,uber india 6963,Uber,230.82,debit,NEFT,Transport,Cab,0.8214,2024-07-31 08:39:00,7,2,8,0,810.21,844.02,-2735.83,10401.76,89678.32,Groceries
58,1,SBI MUTUAL FUND SIP 5526,sbi mutual fund sip 5526,SBI MF,2074.08,debit,Wallet,Investments,Mutual Fund,0.8021,2024-08-05 17:51:00,8,0,17,1,9038.92,9041.89,-31672.77,10401.76,87604.24,Investments
1335,1,GROFERS/BLINKIT 8541,grofers blinkit 8541,Blinkit,1108.14,debit,UPI,Groceries,Quick Commerce,0.8345,2024-08-11 22:23:00,8,6,22,0,1470.46,978.35,-31672.77,10401.76,86496.1,Groceries
1172,1,SBI MUTUAL FUND SIP 3381,sbi mutual fund sip 3381,SBI MF,6865.63,debit,Credit Card,Investments,Mutual Fund,0.8321,2024-08-12 13:56:00,8,0,13,1,9038.92,9041.89,-31672.77,10401.76,79630.47,Investments
844,1,MAKEMYTRIP 2743,makemytrip 2743,MakeMyTrip,20170.28,debit,Wallet,Travel,Flight/Hotel,0.9915,2024-08-12 14:11:00,8,0,14,0,4820.38,7338.63,-31672.77,10401.76,59460.19,Travel
1493,1,IRCTC E-TICKET 9393,irctc e ticket 9393,IRCTC,1454.64,debit,Wallet,Travel,Train Tickets,0.8884,2024-08-17 06:12:00,8,5,6,0,4820.38,7338.63,-31672.77,10401.76,58005.55,Travel
1642,1,RELIANCE FRESH* 7355,reliance fresh 7355,Reliance Fresh,296.2,refund,Net Banking,Groceries,Supermarket,0.8388,2024-08-27 09:05:00,8,1,9,0,,,-31672.77,10401.76,57709.35,Groceries
1346,1,OLA CABS* 4506,ola cabs 4506,Ola,83.6,transfer,Cash,Transport,Cab,0.9784,2024-08-29 21:56:00,8,3,21,0,,,-31672.77,10401.76,57625.75,Transport
1690,1,HDFC BANK EMI 5684,hdfc bank emi 5684,HDFC EMI,8730.09,debit,Net Banking,Finance,Loan EMI,0.7797,2024-09-02 17:49:00,9,0,17,1,9331.17,6864.04,-9447.55,10401.76,48895.66,Finance
1857,1,OLA CABS* 8560,ola cabs 8560,Ola,328.4,debit,UPI,Transport,Cab,0.7078,2024-09-06 10:21:00,9,4,10,0,810.21,844.02,-9447.55,10401.76,48567.26,Shopping
1992,1,OLA CABS* 1443,ola cabs 1443,Ola,113.31,debit,IMPS,Transport,Cab,0.8776,2024-09-10 20:17:00,9,1,20,0,810.21,844.02,-9447.55,10401.76,48453.95,Utilities
1127,1,IRCTC E-TICKET 4282,irctc e ticket 4282,IRCTC,275.75,debit,NEFT,Travel,Train Tickets,0.8597,2024-09-22 13:37:00,9,6,13,0,4820.38,7338.63,-9447.55,10401.76,48178.2,Shopping
894,1,PETROL PUMP HPCL 1535,petrol pump hpcl 1535,HPCL,1901.51,debit,IMPS,Transport,Fuel,0.8091,2024-10-01 14:19:00,10,1,14,0,810.21,844.02,-6665.02,10401.76,46276.69,Transport
1959,1,SWIGGY ORDER* 2734,swiggy order 2734,Swiggy,191.72,debit,Debit Card,Food & Dining,Food Delivery,0.7811,2024-10-02 16:55:00,10,2,16,0,349.94,172.7,-6665.02,10401.76,46084.97,Food & Dining
1773,1,UBER INDIA 8315,uber india 8315,Uber,204.32,debit,Net Banking,Transport,Cab,0.727,2024-10-15 21:32:00,10,1,21,0,810.21,844.02,-6665.02,10401.76,45880.65,Groceries
497,1,PAYTM WALLET* 5467,paytm wallet 5467,Paytm,3271.29,debit,NEFT,Finance,Wallet Top-up,0.9318,2024-10-20 14:34:00,10,6,14,0,9331.17,6864.04,-6665.02,10401.76,42609.36,Finance
739,1,Airtel Xstream 3815,airtel xstream 3815,Airtel,1096.18,debit,Cash,Utilities,Broadband,0.7172,2024-10-25 22:04:00,10,4,22,1,486.89,245.68,-6665.02,10401.76,41513.18,Food & Dining
1594,1,ZOMATO* 4224,zomato 4224,Zomato,369.1,debit,Cash,Food & Dining,Food Delivery,0.8016,2024-11-08 17:18:00,11,4,17,0,349.94,172.7,-18812.43,10401.76,41144.08,Food & Dining
869,1,AMAZON PAY* 1735,amazon pay 1735,Amazon,4866.77,debit,Credit Card,Shopping,E-commerce,0.5915,2024-11-12 12:35:00,11,1,12,0,3549.43,1974.19,-18812.43,10401.76,36277.31,Shopping
141,1,UBER INDIA 4131,uber india 4131,Uber,503.15,debit,Cash,Transport,Cab,0.776,2024-11-13 22:25:00,11,2,22,0,810.21,844.02,-18812.43,10401.76,35774.16,Transport
1309,1,PRACTO CONSULT 1892,practo consult 1892,Practo,731.28,debit,Debit Card,Healthcare,Consultation,0.7369,2024-11-16 09:08:00,11,5,9,0,793.86,497.86,-18812.43,10401.76,35042.88,Healthcare
1245,1,HDFC BANK EMI 6424,hdfc bank emi 6424,HDFC EMI,9311.02,debit,Wallet,Finance,Loan EMI,0.8665,2024-11-16 21:50:00,11,5,21,1,9331.17,6864.04,-18812.43,10401.76,25731.86,Finance
1206,1,IRCTC E-TICKET 1096,irctc e ticket 1096,IRCTC,2308.07,debit,Debit Card,Travel,Train Tickets,0.9705,2024-11-25 17:02:00,11,0,17,0,4820.38,7338.63,-18812.43,10401.76,23423.79,Travel
2115,1,RELIANCE FRESH* 4318,reliance fresh 4318,Reliance Fresh,723.04,debit,Cash,Groceries,Supermarket,0.8262,2024-11-26 14:04:00,11,1,14,0,1470.46,978.35,-18812.43,10401.76,22700.75,Food & Dining
482,1,RELIANCE FRESH* 5659,reliance fresh 5659,Reliance Fresh,1487.18,debit,Net Banking,Groceries,Supermarket,0.8251,2024-12-05 08:03:00,12,3,8,0,1470.46,978.35,-12003.95,10401.76,21213.57,Shopping
1710,1,APOLLO PHARMACY 8844,apollo pharmacy 8844,Apollo Pharmacy,1735.74,debit,UPI,Healthcare,Medicines,0.9701,2024-12-11 12:23:00,12,2,12,0,793.86,497.86,-12003.95,10401.76,19477.83,Healthcare
850,1,BYJU'S SUBSCRIPTION 8279,byju's subscription 8279,Byjus,3657.92,debit,Debit Card,Education,Online Learning,0.8441,2024-12-12 08:12:00,12,3,8,0,2225.87,1205.15,-12003.95,10401.76,15819.91,Education
1301,1,PETROL PUMP HPCL 8699,petrol pump hpcl 8699,HPCL,986.47,debit,NEFT,Transport,Fuel,0.9758,2024-12-15 15:53:00,12,6,15,0,810.21,844.02,-12003.95,10401.76,14833.44,Transport
283,1,HOTSTAR PREMIUM 6878,hotstar premium 6878,Hotstar,623.39,refund,Credit Card,Entertainment,Streaming,0.8778,2024-12-29 11:11:00,12,6,11,1,,,-12003.95,10401.76,14210.05,Entertainment
582,1,FLIPKART INTERNET 9419,flipkart internet 9419,Flipkart,3708.56,debit,Wallet,Shopping,E-commerce,0.8589,2024-12-30 07:18:00,12,0,7,0,3549.43,1974.19,-12003.95,10401.76,10501.49,Shopping
1693,1,DUNZO DELIVERY 8317,dunzo delivery 8317,Dunzo,428.08,debit,Net Banking,Groceries,Quick Commerce,0.7238,2024-12-30 11:09:00,12,0,11,0,1470.46,978.35,-12003.95,10401.76,10073.41,Groceries
1217,1,SWIGGY ORDER* 2081,swiggy order 2081,Swiggy,698.35,transfer,Debit Card,Food & Dining,Food Delivery,0.9874,2024-12-31 12:47:00,12,1,12,0,,,-12003.95,10401.76,9375.06,Food & Dining
1260,1,PETROL PUMP HPCL 1120,petrol pump hpcl 1120,HPCL,1784.87,debit,Debit Card,Transport,Fuel,0.8192,2025-01-11 22:57:00,1,5,22,0,810.21,844.02,-19704.71,10401.76,7590.19,Transport
2057,1,IRCTC E-TICKET 4058,irctc e ticket 4058,IRCTC,746.04,debit,NEFT,Travel,Train Tickets,0.7694,2025-01-14 20:44:00,1,1,20,0,4820.38,7338.63,-19704.71,10401.76,6844.15,Travel
1373,1,ZOMATO* 2396,zomato 2396,Zomato,4.03,debit,UPI,Food & Dining,Food Delivery,0.9909,2025-01-16 16:26:00,1,3,16,0,349.94,172.7,-19704.71,10401.76,6840.12,Groceries
2016,1,Jio Recharge 7961,jio recharge 7961,Jio,513.85,transfer,Wallet,Utilities,Mobile Recharge,0.7126,2025-01-19 16:08:00,1,6,16,1,,,-19704.71,10401.76,6326.27,Utilities
2103,1,UBER INDIA 4649,uber india 4649,Uber,86.17,debit,UPI,Transport,Cab,0.8719,2025-01-21 21:19:00,1,1,21,0,810.21,844.02,-19704.71,10401.76,6240.1,Transport
4,1,SPOTIFY INDIA 6925,spotify india 6925,Spotify,86.0,debit,Wallet,Entertainment,Music Streaming,0.9488,2025-01-22 08:35:00,1,2,8,1,465.35,369.79,-19704.71,10401.76,6154.1,Entertainment
2176,1,SBI MUTUAL FUND SIP 2563,sbi mutual fund sip 2563,SBI MF,4506.38,debit,Debit Card,Investments,Mutual Fund,0.9325,2025-01-23 07:30:00,1,3,7,1,9038.92,9041.89,-19704.71,10401.76,1647.72,Investments
1266,1,FLIPKART INTERNET 7933,flipkart internet 7933,Flipkart,1910.1,transfer,UPI,Shopping,E-commerce,0.8104,2025-01-25 11:06:00,1,5,11,0,,,-19704.71,10401.76,-262.38,Shopping
1605,1,BYJU'S SUBSCRIPTION 4709,byju's subscription 4709,Byjus,3644.9,debit,Wallet,Education,Online Learning,0.7397,2025-01-25 14:11:00,1,5,14,0,2225.87,1205.15,-19704.71,10401.76,-3907.28,Transport
1874,1,PAYTM WALLET* 8483,paytm wallet 8483,Paytm,4370.37,transfer,Credit Card,Finance,Wallet Top-up,0.7417,2025-01-28 10:52:00,1,1,10,0,,,-19704.71,10401.76,-8277.65,Finance
2136,1,HDFC BANK EMI 6658,hdfc bank emi 6658,HDFC EMI,8846.32,debit,Wallet,Finance,Loan EMI,0.8166,2025-01-28 21:45:00,1,1,21,1,9331.17,6864.04,-19704.71,10401.76,-17123.97,Finance
747,1,BigBasket 3236,bigbasket 3236,BigBasket,1966.93,debit,UPI,Groceries,Online Grocery,0.7032,2025-02-12 12:25:00,2,2,12,0,1470.46,978.35,5486.01,10401.76,-19090.9,Groceries
1739,1,FREELANCE PAYMENT 6079,freelance payment 6079,Freelance,22233.68,credit,Debit Card,Income,Freelance,0.71,2025-02-21 11:59:00,2,4,11,0,,,5486.01,10401.76,3142.78,Income
1544,1,HDFC BANK EMI 6441,hdfc bank emi 6441,HDFC EMI,13735.26,debit,Credit Card,Finance,Loan EMI,0.7162,2025-02-22 20:06:00,2,5,20,1,9331.17,6864.04,5486.01,10401.76,-10592.48,Finance
2195,1,BigBasket 5149,bigbasket 5149,BigBasket,366.42,debit,Debit Card,Groceries,Online Grocery,0.8166,2025-02-24 19:42:00,2,0,19,0,1470.46,978.35,5486.01,10401.76,-10958.9,Groceries
1270,1,ZOMATO* 5601,zomato 5601,Zomato,567.44,debit,UPI,Food & Dining,Food Delivery,0.897,2025-02-26 11:00:00,2,2,11,0,349.94,172.7,5486.01,10401.76,-11526.34,Food & Dining
